+--------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------+
| collector                                              | url                                                                                                                                                        |
| ripe/rrc09                                             | http://data.ris.ripe.net/rrc09/<YYYY>.<MM>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                                              |
| ripe/rrc10                                             | http://data.ris.ripe.net/rrc10/<YYYY>.<MM>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                                              |
| ripe/rrc10                                             | http://data.ris.ripe.net/rrc10/<YYYY>.<MM>/bview.<YYYY><MM><DD>.<HH><mm>.gz                                                                                |
| ripe/rrc11                                             | http://data.ris.ripe.net/rrc11/<YYYY>.<MM>/bview.<YYYY><MM><DD>.<HH><mm>.gz                                                                                |
| ripe/rrc11                                             | http://data.ris.ripe.net/rrc11/<YYYY>.<MM>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                                              |
| ripe/rrc12                                             | http://data.ris.ripe.net/rrc12/<YYYY>.<MM>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                                              |
| ripe/rrc12                                             | http://data.ris.ripe.net/rrc12/<YYYY>.<MM>/bview.<YYYY><MM><DD>.<HH><mm>.gz                                                                                |
| ripe/rrc13                                             | http://data.ris.ripe.net/rrc13/<YYYY>.<MM>/bview.<YYYY><MM><DD>.<HH><mm>.gz                                                                                |
| ripe/rrc13                                             | http://data.ris.ripe.net/rrc13/<YYYY>.<MM>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                                              |
| ripe/rrc14                                             | http://data.ris.ripe.net/rrc14/<YYYY>.<MM>/bview.<YYYY><MM><DD>.<HH><mm>.gz                                                                                |
| ripe/rrc14                                             | http://data.ris.ripe.net/rrc14/<YYYY>.<MM>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                                              |
| ripe/rrc15                                             | http://data.ris.ripe.net/rrc15/<YYYY>.<MM>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                                              |
| ripe/rrc15                                             | http://data.ris.ripe.net/rrc15/<YYYY>.<MM>/bview.<YYYY><MM><DD>.<HH><mm>.gz                                                                                |
| ripe/rrc16                                             | http://data.ris.ripe.net/rrc16/<YYYY>.<MM>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                                              |
| ripe/rrc16                                             | http://data.ris.ripe.net/rrc16/<YYYY>.<MM>/bview.<YYYY><MM><DD>.<HH><mm>.gz                                                                                |
| routeservers.pch/oix-route-views                       | https://www.pch.net/resources/data/routing-archive//<YYYY>/oix-route-views/oix-route-views.<YYYY>.<MM>.<DD>.gz                                             |
| routeservers.pch/route-collector.akl.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.akl.pch.net/route-collector.akl.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.ams.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.ams.pch.net/route-collector.ams.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.atl.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.atl.pch.net/route-collector.atl.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.ber.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.ber.pch.net/route-collector.ber.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.bos.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.bos.pch.net/route-collector.bos.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.bur.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.bur.pch.net/route-collector.bur.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.cai.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.cai.pch.net/route-collector.cai.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.cdg.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.cdg.pch.net/route-collector.cdg.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.chix.pch.net          | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.chix.pch.net/route-collector.chix.pch.net.<YYYY>.<MM>.<DD>.gz                   |
| routeservers.pch/route-collector.cpt.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.cpt.pch.net/route-collector.cpt.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.dac.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.dac.pch.net/route-collector.dac.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.dub.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.dub.pch.net/route-collector.dub.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.equinix-paris.pch.net | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.equinix-paris.pch.net/route-collector.equinix-paris.pch.net.<YYYY>.<MM>.<DD>.gz |
| routeservers.pch/route-collector.eze.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.eze.pch.net/route-collector.eze.pch.net.<YYYY>.<MM>.<DD>.gz                     |
| routeservers.pch/route-collector.fra.pch.net           | https://www.pch.net/resources/data/routing-archive//<YYYY>/route-collector.fra.pch.net/route-collector.fra.pch.net.<YYYY>.<MM>.<DD>.gz                     |
